"","employee.code","predictions"
"1",8,"WORKING"
"2",24,"WORKING"
"3",96,"WORKING"
"4",128,"WORKING"
"5",129,"WORKING"
"6",140,"WORKING"
"7",142,"WORKING"
"8",148,"WORKING"
"9",171,"WORKING"
"10",184,"WORKING"
"11",203,"WORKING"
"12",206,"WORKING"
"13",215,"WORKING"
"14",224,"WORKING"
"15",258,"WORKING"
"16",272,"LEFT"
"17",281,"WORKING"
"18",284,"WORKING"
"19",290,"LEFT"
"20",318,"LEFT"
"21",320,"LEFT"
"22",340,"WORKING"
"23",341,"WORKING"
"24",355,"LEFT"
"25",363,"LEFT"
"26",368,"WORKING"
"27",371,"WORKING"
"28",386,"WORKING"
"29",388,"WORKING"
"30",397,"LEFT"
"31",411,"WORKING"
"32",418,"WORKING"
"33",419,"LEFT"
"34",420,"WORKING"
"35",425,"LEFT"
"36",429,"LEFT"
"37",431,"WORKING"
"38",435,"LEFT"
"39",438,"WORKING"
"40",439,"WORKING"
"41",442,"WORKING"
"42",443,"LEFT"
"43",444,"WORKING"
"44",446,"LEFT"
"45",447,"LEFT"
"46",449,"LEFT"
"47",452,"LEFT"
"48",462,"WORKING"
"49",464,"LEFT"
"50",469,"LEFT"
"51",475,"LEFT"
"52",478,"LEFT"
"53",481,"WORKING"
"54",483,"WORKING"
"55",484,"LEFT"
"56",486,"WORKING"
"57",491,"WORKING"
"58",493,"WORKING"
"59",499,"WORKING"
"60",505,"WORKING"
"61",510,"LEFT"
"62",519,"LEFT"
